simtime,cache_hit,warm_duration,cold_start_penalty,final_duration,avg_cold_start,scenario,function_name,request_id,node_name,replica_id
12.0,False,0.1,0.8,0.9,0.8,cache_blind,img-resize,1,server_1,2193386490944
12.9,False,0.1,1.4,1.5,1.4,cache_blind,fft,2,server_0,2193386501552
14.4,False,0.1,0.8,0.9,0.8,cache_blind,img-resize,3,server_1,2193386490944
15.3,False,0.1,1.9,2.0,1.9,cache_blind,ml-infer,4,server_3,2193386237008
17.3,False,0.1,0.35,0.44999999999999996,0.35,cache_blind,json-parse,5,server_2,2193386241424
17.75,False,0.1,1.4,1.5,1.4,cache_blind,fft,6,server_0,2193386501552
19.25,False,0.1,0.8,0.9,0.8,cache_blind,img-resize,7,server_1,2193386490944
20.15,False,0.1,1.9,2.0,1.9,cache_blind,ml-infer,8,server_3,2193386237008
22.15,False,0.1,0.35,0.44999999999999996,0.35,cache_blind,json-parse,9,server_2,2193386241424
22.599999999999998,False,0.1,0.8,0.9,0.8,cache_blind,img-resize,10,server_1,2193386490944
