function_name,replica_id,probe_simtime,inv_t_start,inv_t_exec,probe_node,inv_node,simtime_match,node_match
skippy-large,2381233423424,18.250000000000007,18.250000000000007,0.25,server_0,server_0,True,True
skippy-large,2381233423424,18.500000000000007,18.500000000000007,0.25,server_0,server_0,True,True
skippy-large,2381233423424,18.750000000000007,18.750000000000007,0.25,server_0,server_0,True,True
skippy-large,2381233423424,19.000000000000007,19.000000000000007,0.25,server_0,server_0,True,True
skippy-large,2381233423424,19.250000000000007,19.250000000000007,0.25,server_0,server_0,True,True
skippy-large,2381233423424,19.500000000000007,19.500000000000007,0.25,server_0,server_0,True,True
skippy-large,2381233423424,19.750000000000007,19.750000000000007,0.25,server_0,server_0,True,True
skippy-large,2381233423424,20.000000000000007,20.000000000000007,0.25,server_0,server_0,True,True
skippy-medium,2381233318608,16.16666666666666,16.16666666666666,0.25,server_1,server_1,True,True
skippy-medium,2381233318608,16.499999999999996,16.499999999999996,0.25,server_1,server_1,True,True
skippy-medium,2381233318608,16.833333333333332,16.833333333333332,0.25,server_1,server_1,True,True
skippy-medium,2381233318608,17.166666666666668,17.166666666666668,0.25,server_1,server_1,True,True
skippy-medium,2381233318608,17.500000000000004,17.500000000000004,0.25,server_1,server_1,True,True
skippy-medium,2381233318608,17.83333333333334,17.83333333333334,0.25,server_1,server_1,True,True
skippy-medium,2381233322448,16.33333333333333,16.33333333333333,0.25,server_2,server_2,True,True
skippy-medium,2381233322448,16.666666666666664,16.666666666666664,0.25,server_2,server_2,True,True
skippy-medium,2381233322448,17.0,17.0,0.25,server_2,server_2,True,True
skippy-medium,2381233322448,17.333333333333336,17.333333333333336,0.25,server_2,server_2,True,True
skippy-medium,2381233322448,17.66666666666667,17.66666666666667,0.25,server_2,server_2,True,True
skippy-medium,2381233322448,18.000000000000007,18.000000000000007,0.25,server_2,server_2,True,True
skippy-small,2381233229760,14.1,14.1,0.25,server_3,server_3,True,True
skippy-small,2381233229760,14.299999999999999,14.299999999999999,0.25,server_3,server_3,True,True
skippy-small,2381233229760,14.499999999999998,14.499999999999998,0.25,server_3,server_3,True,True
skippy-small,2381233229760,14.699999999999998,14.699999999999998,0.25,server_3,server_3,True,True
skippy-small,2381233229760,14.899999999999997,14.899999999999997,0.25,server_3,server_3,True,True
skippy-small,2381233229760,15.099999999999996,15.099999999999996,0.25,server_3,server_3,True,True
skippy-small,2381233229760,15.299999999999995,15.299999999999995,0.25,server_3,server_3,True,True
skippy-small,2381233229760,15.499999999999995,15.499999999999995,0.25,server_3,server_3,True,True
skippy-small,2381233229760,15.699999999999994,15.699999999999994,0.25,server_3,server_3,True,True
skippy-small,2381233229760,15.899999999999993,15.899999999999993,0.24999999999999822,server_3,server_3,True,True
skippy-small,2381233231888,14.2,14.2,0.25,server_3,server_3,True,True
skippy-small,2381233231888,14.399999999999999,14.399999999999999,0.25,server_3,server_3,True,True
skippy-small,2381233231888,14.599999999999998,14.599999999999998,0.25,server_3,server_3,True,True
skippy-small,2381233231888,14.799999999999997,14.799999999999997,0.25,server_3,server_3,True,True
skippy-small,2381233231888,14.999999999999996,14.999999999999996,0.25,server_3,server_3,True,True
skippy-small,2381233231888,15.199999999999996,15.199999999999996,0.25,server_3,server_3,True,True
skippy-small,2381233231888,15.399999999999995,15.399999999999995,0.25,server_3,server_3,True,True
skippy-small,2381233231888,15.599999999999994,15.599999999999994,0.25,server_3,server_3,True,True
skippy-small,2381233231888,15.799999999999994,15.799999999999994,0.25,server_3,server_3,True,True
skippy-small,2381233231888,15.999999999999993,15.999999999999993,0.25,server_3,server_3,True,True
