time,base_duration,active_requests_before,degradation_factor,final_duration,function_name,request_id,node_name,replica_id
2026-07-06 21:32:59.426287,0.4,0,1.0,0.4,degradation-python-pi,1,server_0,1968320893392
2026-07-06 21:32:59.426496,0.4,1,1.35,0.54,degradation-python-pi,2,server_0,1968320897232
2026-07-06 21:32:59.426664,0.4,2,1.7,0.68,degradation-python-pi,3,server_0,1968320893392
2026-07-06 21:32:59.426818,0.4,3,2.05,0.82,degradation-python-pi,4,server_0,1968320897232
2026-07-06 21:32:59.426975,0.4,4,2.4,0.96,degradation-python-pi,5,server_0,1968321202560
2026-07-06 21:32:59.427112,0.4,5,2.75,1.1,degradation-python-pi,6,server_0,1968320893392
2026-07-06 21:32:59.427242,0.4,6,3.0999999999999996,1.24,degradation-python-pi,7,server_0,1968320897232
2026-07-06 21:32:59.427405,0.4,7,3.4499999999999997,1.38,degradation-python-pi,8,server_0,1968321202560
2026-07-06 21:32:59.427670,0.4,7,3.4499999999999997,1.38,degradation-python-pi,9,server_0,1968320893392
2026-07-06 21:32:59.427824,0.4,8,3.8,1.52,degradation-python-pi,10,server_0,1968320897232
2026-07-06 21:32:59.427965,0.4,9,4.15,1.6600000000000001,degradation-python-pi,11,server_0,1968321202560
2026-07-06 21:32:59.428149,0.4,9,4.15,1.6600000000000001,degradation-python-pi,12,server_0,1968320893392
2026-07-06 21:32:59.428307,0.4,10,4.5,1.8,degradation-python-pi,13,server_0,1968320897232
2026-07-06 21:32:59.428447,0.4,11,4.85,1.94,degradation-python-pi,14,server_0,1968321202560
2026-07-06 21:32:59.428578,0.4,12,5.199999999999999,2.0799999999999996,degradation-python-pi,15,server_0,1968320893392
2026-07-06 21:32:59.428743,0.4,12,5.199999999999999,2.0799999999999996,degradation-python-pi,16,server_0,1968320897232
2026-07-06 21:32:59.428906,0.4,13,5.55,2.22,degradation-python-pi,17,server_0,1968321202560
2026-07-06 21:32:59.429054,0.4,14,5.8999999999999995,2.36,degradation-python-pi,18,server_0,1968320893392
2026-07-06 21:32:59.429218,0.4,14,5.8999999999999995,2.36,degradation-python-pi,19,server_0,1968320897232
2026-07-06 21:32:59.429397,0.4,15,6.25,2.5,degradation-python-pi,20,server_0,1968321202560
2026-07-06 21:32:59.429538,0.4,16,6.6,2.64,degradation-python-pi,21,server_0,1968320893392
2026-07-06 21:32:59.429710,0.4,17,6.949999999999999,2.78,degradation-python-pi,22,server_0,1968320897232
2026-07-06 21:32:59.429950,0.4,17,6.949999999999999,2.78,degradation-python-pi,23,server_0,1968321202560
2026-07-06 21:32:59.430153,0.4,18,7.3,2.92,degradation-python-pi,24,server_0,1968320893392
2026-07-06 21:32:59.430320,0.4,19,7.6499999999999995,3.06,degradation-python-pi,25,server_0,1968320897232
2026-07-06 21:32:59.430528,0.4,19,7.6499999999999995,3.06,degradation-python-pi,26,server_0,1968321202560
2026-07-06 21:32:59.430771,0.4,20,8.0,3.2,degradation-python-pi,27,server_0,1968320893392
2026-07-06 21:32:59.430949,0.4,21,8.35,3.34,degradation-python-pi,28,server_0,1968320897232
2026-07-06 21:32:59.431107,0.4,22,8.7,3.48,degradation-python-pi,29,server_0,1968321202560
2026-07-06 21:32:59.431268,0.4,22,8.7,3.48,degradation-python-pi,30,server_0,1968320893392
2026-07-06 21:32:59.431397,0.4,23,9.049999999999999,3.6199999999999997,degradation-python-pi,31,server_0,1968320897232
2026-07-06 21:32:59.431558,0.4,24,9.399999999999999,3.76,degradation-python-pi,32,server_0,1968321202560
2026-07-06 21:32:59.431714,0.4,24,9.399999999999999,3.76,degradation-python-pi,33,server_0,1968320893392
2026-07-06 21:32:59.431918,0.4,24,9.399999999999999,3.76,degradation-python-pi,34,server_0,1968320897232
2026-07-06 21:32:59.432066,0.4,25,9.75,3.9000000000000004,degradation-python-pi,35,server_0,1968321202560
2026-07-06 21:32:59.432192,0.4,26,10.1,4.04,degradation-python-pi,36,server_0,1968320893392
2026-07-06 21:32:59.432330,0.4,27,10.45,4.18,degradation-python-pi,37,server_0,1968320897232
2026-07-06 21:32:59.432483,0.4,27,10.45,4.18,degradation-python-pi,38,server_0,1968321202560
2026-07-06 21:32:59.432617,0.4,28,10.799999999999999,4.319999999999999,degradation-python-pi,39,server_0,1968320893392
2026-07-06 21:32:59.432782,0.4,29,11.149999999999999,4.46,degradation-python-pi,40,server_0,1968320897232
