function_name,replica_id,request_id,phase_name,probe_simtime,probe_final_duration,inv_t_start,inv_t_exec,inv_node,duration_match,simtime_match
cosim-python-pi,2438477535568,2,normal,1.1666666666666665,0.18,1.1666666666666665,0.17999999999999994,server_0,True,True
cosim-python-pi,2438477535568,4,normal,1.833333333333333,0.18,1.833333333333333,0.18000000000000016,server_0,True,True
cosim-python-pi,2438477535568,6,edge_pressure,2.5,0.323,2.5,0.32299999999999995,server_0,True,True
cosim-python-pi,2438477535568,8,edge_pressure,2.75,0.323,2.75,0.32299999999999995,server_0,True,True
cosim-python-pi,2438477535568,10,edge_pressure,3.0,0.323,3.0,0.32299999999999995,server_0,True,True
cosim-python-pi,2438477535568,12,edge_pressure,3.25,0.323,3.25,0.32299999999999995,server_0,True,True
cosim-python-pi,2438477535568,14,edge_pressure,3.5,0.323,3.5,0.32299999999999995,server_0,True,True
cosim-python-pi,2438477535568,16,edge_pressure,3.75,0.323,3.75,0.3230000000000004,server_0,True,True
cosim-python-pi,2438477535568,18,network_slowdown,4.0,0.448,4.0,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477535568,20,network_slowdown,4.25,0.448,4.25,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477535568,22,network_slowdown,4.5,0.448,4.5,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477535568,24,network_slowdown,4.9,0.448,4.9,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477535568,26,network_slowdown,5.300000000000001,0.448,5.300000000000001,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477535568,28,network_slowdown,5.700000000000001,0.448,5.700000000000001,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477535568,30,cooldown,6.100000000000001,0.17099999999999999,6.100000000000001,0.17100000000000026,server_0,True,True
cosim-python-pi,2438477535568,32,cooldown,6.500000000000002,0.17099999999999999,6.500000000000002,0.17100000000000026,server_0,True,True
cosim-python-pi,2438477535568,34,cooldown,7.500000000000002,0.17099999999999999,7.500000000000002,0.17100000000000026,server_0,True,True
cosim-python-pi,2438477535568,36,cooldown,8.500000000000002,0.17099999999999999,8.500000000000002,0.17099999999999937,server_0,True,True
cosim-python-pi,2438477943472,1,normal,0.8333333333333333,0.18,0.8333333333333333,0.17999999999999994,server_0,True,True
cosim-python-pi,2438477943472,3,normal,1.4999999999999998,0.18,1.4999999999999998,0.17999999999999994,server_0,True,True
cosim-python-pi,2438477943472,5,edge_pressure,2.1666666666666665,0.323,2.1666666666666665,0.32299999999999995,server_0,True,True
cosim-python-pi,2438477943472,7,edge_pressure,2.625,0.323,2.625,0.32299999999999995,server_0,True,True
cosim-python-pi,2438477943472,9,edge_pressure,2.875,0.323,2.875,0.32299999999999995,server_0,True,True
cosim-python-pi,2438477943472,11,edge_pressure,3.125,0.323,3.125,0.32299999999999995,server_0,True,True
cosim-python-pi,2438477943472,13,edge_pressure,3.375,0.323,3.375,0.32299999999999995,server_0,True,True
cosim-python-pi,2438477943472,15,edge_pressure,3.625,0.323,3.625,0.32299999999999995,server_0,True,True
cosim-python-pi,2438477943472,17,edge_pressure,3.875,0.323,3.875,0.3230000000000004,server_0,True,True
cosim-python-pi,2438477943472,19,network_slowdown,4.125,0.448,4.125,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477943472,21,network_slowdown,4.375,0.448,4.375,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477943472,23,network_slowdown,4.7,0.448,4.7,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477943472,25,network_slowdown,5.1000000000000005,0.448,5.1000000000000005,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477943472,27,network_slowdown,5.500000000000001,0.448,5.500000000000001,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477943472,29,network_slowdown,5.900000000000001,0.448,5.900000000000001,0.4480000000000004,server_0,True,True
cosim-python-pi,2438477943472,31,cooldown,6.300000000000002,0.17099999999999999,6.300000000000002,0.17100000000000026,server_0,True,True
cosim-python-pi,2438477943472,33,cooldown,7.000000000000002,0.17099999999999999,7.000000000000002,0.17100000000000026,server_0,True,True
cosim-python-pi,2438477943472,35,cooldown,8.000000000000002,0.17099999999999999,8.000000000000002,0.17099999999999937,server_0,True,True
